work_year,salary_cleaned,salary_in_usd_cleaned,company_size_lab,salary_currency_encoded,employee_residence_encoded,company_location_encoded,remote_ratio,job_title_encoded,experience_level_EN,experience_level_EX,experience_level_MI,experience_level_SE,employment_type_CT,employment_type_FL,employment_type_FT,employment_type_PT
2023,80000.0,85847.0,0,49064728,81406157,81406157,100,2058566,0,0,0,1,0,0,1,0
2023,30000.0,30000.0,2,51126126,25370322,25370322,100,10028239,0,0,1,0,1,0,0,0
2023,25500.0,25500.0,2,51126126,25370322,25370322,100,10028239,0,0,1,0,1,0,0,0
2023,175000.0,175000.0,1,51126126,21365473,21365473,100,72608695,0,0,0,1,0,0,1,0
2023,120000.0,120000.0,1,51126126,21365473,21365473,100,72608695,0,0,0,1,0,0,1,0
2023,222200.0,222200.0,0,51126126,25370322,25370322,0,94260756,0,0,0,1,0,0,1,0
2023,136000.0,136000.0,0,51126126,25370322,25370322,0,94260756,0,0,0,1,0,0,1,0
2023,219000.0,219000.0,1,51126126,21365473,21365473,0,72608695,0,0,0,1,0,0,1,0
2023,141000.0,141000.0,1,51126126,21365473,21365473,0,72608695,0,0,0,1,0,0,1,0
2023,147100.0,147100.0,1,51126126,25370322,25370322,0,72608695,0,0,0,1,0,0,1,0
2023,90700.0,90700.0,1,51126126,25370322,25370322,0,72608695,0,0,0,1,0,0,1,0
2023,130000.0,130000.0,1,51126126,25370322,25370322,100,53819113,0,0,0,1,0,0,1,0
2023,100000.0,100000.0,1,51126126,25370322,25370322,100,53819113,0,0,0,1,0,0,1,0
2023,213660.0,213660.0,0,51126126,25370322,25370322,0,94260756,1,0,0,0,0,0,1,0
2023,130760.0,130760.0,0,51126126,25370322,25370322,0,94260756,1,0,0,0,0,0,1,0
2023,147100.0,147100.0,1,51126126,25370322,25370322,0,26680259,0,0,0,1,0,0,1,0
2023,90700.0,90700.0,1,51126126,25370322,25370322,0,26680259,0,0,0,1,0,0,1,0
2023,170000.0,170000.0,1,51126126,25370322,25370322,0,72608695,0,0,0,1,0,0,1,0
2023,150000.0,150000.0,1,51126126,25370322,25370322,0,72608695,0,0,0,1,0,0,1,0
2023,150000.0,150000.0,1,51126126,25370322,25370322,100,53819113,0,0,1,0,0,0,1,0
2023,110000.0,110000.0,1,51126126,25370322,25370322,100,53819113,0,0,1,0,0,0,1,0
2023,275000.0,275000.0,1,51126126,41411443,41411443,0,45963291,0,0,0,1,0,0,1,0
2023,174000.0,174000.0,1,51126126,41411443,41411443,0,45963291,0,0,0,1,0,0,1,0
2023,230000.0,230000.0,1,51126126,22777947,22777947,100,14431868,0,0,0,1,0,0,1,0
2023,143200.0,143200.0,1,51126126,22777947,22777947,100,14431868,0,0,0,1,0,0,1,0
2023,225000.0,225000.0,1,51126126,25370322,25370322,0,10004980,0,0,0,1,0,0,1,0
2023,156400.0,156400.0,1,51126126,25370322,25370322,0,10004980,0,0,0,1,0,0,1,0
2023,200000.0,200000.0,1,51126126,25370322,25370322,0,67921766,0,0,0,1,0,0,1,0
2023,130000.0,130000.0,1,51126126,25370322,25370322,0,67921766,0,0,0,1,0,0,1,0
2023,90000.0,90000.0,1,51126126,21365473,21365473,0,33715263,0,0,0,1,0,0,1,0
2023,72000.0,72000.0,1,51126126,21365473,21365473,0,33715263,0,0,0,1,0,0,1,0
2023,253200.0,253200.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,90700.0,90700.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,,,1,51126126,25370322,25370322,0,17456674,0,0,0,1,0,0,1,0
2023,184590.0,184590.0,1,51126126,25370322,25370322,0,17456674,0,0,0,1,0,0,1,0
2023,162500.0,162500.0,1,51126126,25370322,25370322,0,39298127,0,0,1,0,0,0,1,0
2023,130000.0,130000.0,1,51126126,25370322,25370322,0,39298127,0,0,1,0,0,0,1,0
2023,105380.0,105380.0,1,51126126,25370322,25370322,0,53819113,0,0,1,0,0,0,1,0
2023,64500.0,64500.0,1,51126126,25370322,25370322,0,53819113,0,0,1,0,0,0,1,0
2023,100000.0,100000.0,0,51126126,93787016,93787016,100,96840488,1,0,0,0,0,0,1,0
2023,30000.0,30000.0,0,51126126,93787016,93787016,100,32017534,1,0,0,0,0,0,1,0
2022,,20984.0,0,66761783,79926203,79926203,50,67921766,0,0,1,0,0,0,1,0
2023,204620.0,204620.0,0,51126126,25370322,25370322,0,94260756,1,0,0,0,0,0,1,0
2023,110680.0,110680.0,0,51126126,25370322,25370322,0,94260756,1,0,0,0,0,0,1,0
2023,270703.0,270703.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,221484.0,221484.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,212750.0,212750.0,1,51126126,25370322,25370322,100,72608695,0,0,0,1,0,0,1,0
2023,185000.0,185000.0,1,51126126,25370322,25370322,100,72608695,0,0,0,1,0,0,1,0
2023,262000.0,262000.0,1,51126126,25370322,25370322,100,72608695,0,0,0,1,0,0,1,0
2023,245000.0,245000.0,1,51126126,25370322,25370322,100,72608695,0,0,0,1,0,0,1,0
