Have_Married_Before,Have_Graduated,Age,Work_Experience,Family_Size,Spending_Score_Lab,Profession_Artist,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing,Segmentation_A,Segmentation_B,Segmentation_C,Segmentation_D,Var_1_Cat_1,Var_1_Cat_2,Var_1_Cat_3,Var_1_Cat_4,Var_1_Cat_5,Var_1_Cat_6,Var_1_Cat_7
0.0,0.0,22.0,1.0,4.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1.0,1.0,38.0,2.378581560283688,3.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.0,1.0,67.0,1.0,1.0,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1.0,1.0,67.0,0.0,2.0,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1.0,1.0,40.0,2.378581560283688,6.0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.0,0.0,56.0,0.0,2.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.0,1.0,32.0,1.0,3.0,2.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.0,1.0,33.0,1.0,3.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1.0,1.0,61.0,0.0,3.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1.0,1.0,55.0,1.0,4.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.0,1.0,26.0,1.0,3.0,2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.0,0.0,19.0,4.0,4.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.0,0.0,19.0,0.0,2.7809922764759785,2.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0,0.0,70.0,2.378581560283688,1.0,2.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1.0,0.0,58.0,0.0,1.0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.0,0.0,41.0,1.0,2.0,2.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.0,0.0,32.0,9.0,5.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0,0.0,31.0,1.0,6.0,2.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1.0,1.0,58.0,1.0,4.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1.0,1.0,79.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1.0,1.0,49.0,2.378581560283688,1.0,2.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
0.0,0.0,18.0,3.0,4.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1.0,1.0,33.0,2.378581560283688,2.0,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.0,1.0,36.0,5.0,2.0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.5856458123107972,0.0,58.0,1.0,3.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.0,0.0,56.0,1.0,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.0,0.0,31.0,9.0,2.7809922764759785,2.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.0,1.0,49.0,1.0,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.0,1.0,35.0,0.0,1.0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
